Country,Population,Human Development Index,GDP (Nominal),GDP Per Capita,Electricity Consumption,Internet Users (% of Population),Data Centers,Supercomputer Cores,Internet Connection Speed (Average Download Speed in Mbit/s)
Afghanistan,42647492,0.511,,,5.53,11,,,3
Albania,2866374,0.791,,,7.05,66,,,61
Algeria,46814308,0.748,,,77.79,58,,,14
Andorra,77265,0.858,,,,94,,,127
Angola,37885849,0.581,,,14.99,14,,,21
Antigua and Barbuda,101882,0.788,,,,,,,37
Argentina,45696159,0.845,6.3277E+11,13935,127.98,80,,,81
Armenia,2780469,0.776,,,7.39,71,,,53
Australia,26439111,0.951,1.67542E+12,63945,250.01,91,307,498848,60
Austria,9059949,0.916,4.714E+11,52004,65.17,88,68,133152,94
Azerbaijan,10358074,0.745,,,23.83,81,,,38
Bahamas,409984,0.812,,,2.02,,,,69
Bahrain,1857284,0.875,,,34.52,99,,,89
Bangladesh,173562364,0.661,4.60201E+11,2717,99.55,15,,,44
Barbados,281635,0.788,,,1.02,,,,86
Belarus,9207795,0.808,,,35.52,79,,,65
Belgium,11720716,0.937,5.78604E+11,49700,79.97,90,79,23200,98
Belize,441471,0.716,,,0.44,,,,47
Benin,14894402,0.525,,,1.5,15,,,25
Bhutan,857423,0.666,,,9.75,48,,,14
Bolivia,12166158,0.703,,,10.57,47,,,34
Bosnia and Herzegovina,3213528,0.78,,,12.65,72,,,31
Botswana,2630296,0.693,,,3.7,47,,,9
Brazil,211998573,0.754,1.9201E+12,9130,583.18,74,163,806656,159
Brunei,460345,0.829,,,5.24,95,,,80
Bulgaria,6520314,0.816,,,35.37,67,,164224,81
Burkina Faso,24248258,0.449,,,2.11,11,,,43
Burundi,14952665,0.426,,,0.42,5,,,6
Cambodia,17168639,0.593,,,11,39,,,44
Cameroon,29321606,0.563,,,6.31,23,,,9
Canada,39742430,0.936,2.13984E+12,55120,553.26,91,336,845984,198
Cape Verde,598682,0.651,,,0.33,57,,,15
Chile,19485632,0.855,3.01025E+11,15395,86.63,82,,,265
China,1419321278,0.768,1.79632E+13,12604,8539.69,65,449,21128112,242
Colombia,52886363,0.752,3.43939E+11,6648,80.94,64,,,135
Congo,6231162,0.574,,,2.17,8,,,42
Costa Rica,5379984,0.809,,,10.62,78,,,93
Croatia,3828347,0.858,,,17.11,75,,,71
Cuba,11113215,0.783,,,14.56,38,,,3
Cyprus,1251488,0.887,,,5.02,84,,,91
Czech Republic,10493986,0.888,2.90924E+11,27257,62.08,81,,360192,70
Denmark,5881978,0.948,3.95404E+11,66985,33.17,97,,,224
Djibouti,1101613,0.524,,,0.52,11,,,17
Dominica,72737,0.742,,,0.16,,,,93
Dominican Republic,11332972,0.756,,,19.09,65,,,35
DR Congo,109276265,0.48,,,11.25,6,,,42
East Timor,1499653,0.606,,,,27,,,6
Ecuador,19273447,0.759,,,50.87,57,,,90
Egypt,116538258,0.731,4.76748E+11,4233,176.72,54,,,66
El Salvador,6550389,0.673,,,6.67,33,,,51
Estonia,1325185,0.892,,,7.48,89,,,85
Ethiopia,132059767,0.498,,,10.6,15,,,9
Fiji,1004670,0.743,,,0.94,50,,,17
Finland,5554960,0.94,2.80826E+11,50424,80.08,90,,3116992,118
France,66548530,0.903,2.78291E+12,41989,425.99,86,315,4346072,242
Gabon,2511689,0.706,,,2.5,48,,,44
Gambia,2773168,0.496,,,0.41,19,,,6
Georgia,3688647,0.802,,,13.9,65,,,27
Germany,84552242,0.95,4.07219E+12,48429,507.25,89,521,4399212,92
Ghana,34427414,0.632,,,19.14,35,,,43
Greece,10154136,0.888,,,47.28,69,,,50
Grenada,125438,0.779,,,0.23,,,,86
Guatemala,20081594,0.663,,,11.39,34,,,51
Guinea,15305705,0.477,,,2.63,3,,,10
Guyana,825544,0.682,,,0.91,37,,,86
Haiti,12422766,0.51,,,0.42,12,,,37
Honduas,10606865,0.634,,,8.79,32,,,46
