Year,PUE,PUE Source,Energy Consumption
2010,2.11,Interpolation,55
2011,1.98,Actual,117
2012,1.815,Interpolation,164
2013,1.65,Actual,198
2014,1.636,Interpolation,219
2015,1.622,Interpolation,233
2016,1.616,Interpolation,256
2017,1.594,Interpolation,260
2018,1.58,Actual,257
2019,1.67,Actual,245
2020,1.59,Actual,231
2021,1.57,Actual,272
2022,1.55,Actual,309
2023,1.58,Actual,315
2024,1.56,Actual,321
2025,1.56,Projection,328
2026,1.56,Projection,334
2027,1.56,Projection,340
2028,1.56,Projection,347
2029,1.56,Projection,353
2030,1.56,Projection,359
2031,1.56,Projection,365
2032,1.56,Projection,372
2033,1.56,Projection,378
2034,1.56,Projection,384
2035,1.56,Projection,390
2036,1.56,Projection,396
2037,1.56,Projection,401
2038,1.56,Projection,407
2039,1.56,Projection,413
2040,1.56,Projection,423
2041,1.56,Projection,433
2042,1.56,Projection,443
2043,1.56,Projection,454
2044,1.56,Projection,464
2045,1.56,Projection,475
2046,1.56,Projection,487
2047,1.56,Projection,498
2048,1.56,Projection,510
2049,1.56,Projection,522
2050,1.56,Projection,533
