Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Website URL,WC Grade,WC CO2 per Visit,Sustainable Energy,Monthly traffic in K,
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,yes,yes,yes,2100000,484852.8,648125,6,15511,32.8,252399,C. Douglas McMillon,U.S.,Bentonville,Arkansas,https://www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",559911,45509,www.walmart.com,F,0.99,sustainable energy,432000,
2,Amazon,AMZN,Retailing,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,1525000,1873675.8,574785,11.8,30425,,527854,Andrew R. Jassy,U.S.,Seattle,Washington,https://www.amazon.com,Public,"Market value as of July 15, 2024.",2005565,45509,www.amazon.com,F,0.93,sustainable energy,2654000,
3,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,no,no,yes,yes,no,161000,2647973.8,383285,-2.8,96995,-2.8,352583,Timothy D. Cook,U.S.,Cupertino,California,https://www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",3594309,45509,www.apple.com,F,1,bog standard energy,506800,
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,no,no,yes,yes,no,440000,456080.8,371622,14.6,22381,11.2,273720,Andrew P. Witty,U.S.,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public,"Market value as of July 15, 2024.",474339,45509,www.unitedhealthgroup.com,E,0.74,sustainable energy,1982,
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,no,no,yes,yes,no,396500,908919.7,364482,20.7,96223,,1069978,Warren E. Buffett,U.S.,Omaha,Nebraska,https://www.berkshirehathaway.com,Public,"Market value as of July 15, 2024.",937028,45509,www.berkshirehathaway.com,A+,0.05,bog standard energy,391.912,
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,no,no,no,yes,yes,no,259500,100373.9,357776,10.9,8344,101.1,249728,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,https://www.cvshealth.com,Public,"Market value as of July 15, 2024.",73653,45509,www.cvshealth.com,B,0.22,sustainable energy,3196,
7,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,-4,no,yes,no,yes,no,no,61500,461222.2,344582,-16.7,36010,-35.4,376317,Darren W. Woods,U.S.,Spring,Texas,https://www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",516824,45509,www.exxonmobil.com,F,1.84,sustainable energy,1017,
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,no,0,no,no,no,yes,yes,no,182502,1884633,307394,8.7,73795,23,402392,Sundar Pichai,U.S.,Mountain View,California,https://www.abc.xyz,Public,"Market value as of July 15, 2024.",2315182,45509,www.abc.xyz,A,0.13,sustainable energy,332.856,
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,yes,no,no,48000,70546.5,276711,4.8,3560,219.6,62320,Brian S. Tyler,U.S.,Irving,Texas,https://www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2024. Market value as of July 15, 2024.",75007,45509,www.mckesson.com,D,0.63,bog standard energy,3457,
10,Cencora,COR,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,https://www.cencora.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Changed name from AmerisourceBergen, Aug. 30, 2023. Market value as of July 15, 2024.",43758,45509,www.cencora.com,E,0.82,sustainable energy,247.376,
