Year,MinEstimate,MaxEstimate
2007,0.886491713,1.129530387
2008,0.974861878,1.240607735
2009,1.068701657,1.358370166
2010,1.16179558,1.475220994
2011,1.26781768,1.607872928
2012,1.38179558,1.750248619
2013,1.49378453,1.89019337
2014,1.615966851,2.042596685
2015,1.746353591,2.205027624
2016,1.885939227,2.378701657
2017,2.035220994,2.564226519
2018,2.195939227,2.763729282
2019,2.369088398,2.978425414
2020,2.556906077,3.211049724
2021,3.030977901,3.127301702
2022,3.177977901,3.39115495
2023,3.324977901,3.677269734
2024,3.471977901,3.987524278
2025,3.618977901,4.323955276
2026,3.765977901,4.68877126
2027,3.912977901,5.084367095
2028,4.059977901,5.513339705
2029,4.206977901,5.978505119
2030,4.353977901,6.482916956
2031,4.500977901,7.029886472
2032,4.647977901,7.623004296
2033,4.794977901,8.266164003
2034,4.941977901,8.963587672
2035,5.088977901,9.7198536
2036,5.235977901,10.53992636
2037,5.382977901,11.4291894
2038,5.529977901,12.39348036
2039,5.676977901,13.43912941
2040,5.823977901,14.5730008
